trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,7,-93.16672851698853,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-99.88682830132622,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-147.01225955904673,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,6,-9.187401485339457,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,5,-47.06713152467436,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-122.9668859257939,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-41.16748608429739,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-70.83316630802965,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-47.732482259495555,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-88.39512145575135,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,23,5.586962350362281,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,13,-6.0381292007656775,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5945205479701944}",30,0,-120.99254354585177,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,22,6.749285250666968,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,4.796373466669945,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,0,-107.64894532960014,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,11,-17.60072832557702,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
