trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8}",25,7,-113.93056084305749,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.6400000000000001}",30,0,-186.78742251677787,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5120000000000001}",20,0,-107.11690225888343,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.40960000000000013}",30,0,-82.52445612906376,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.32768000000000014}",20,0,-129.93091862316098,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.2621440000000001}",20,0,-8.990405304706849,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.2097152000000001}",20,0,-80.84424140086593,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.1677721600000001}",20,0,-75.3010185164324,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.13421772800000006}",25,0,-70.15763427920345,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.10737418240000006}",25,0,-158.31054740026858,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.08589934592000005}",25,0,-169.68451600021842,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.06871947673600004}",30,0,-119.21997438884499,"{0: 19, 1: 5, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.054975581388800036}",25,0,-80.9482436453553,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.043980465111040035}",20,0,-23.509220044461223,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.03518437208883203}",30,3,-161.21741902442233,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.028147497671065627}",20,0,-71.56760526052247,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.022517998136852502}",25,0,-41.73834320387246,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.018014398509482003}",20,0,-52.210407102644126,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.014411518807585602}",20,10,-57.95394466969327,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.011529215046068483}",20,0,-166.1046199441757,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,5,-91.36708392116489,"{0: 7, 1: 4, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-92.24178330238037,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-82.35434668919086,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-18.82573740270763,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-134.97427387378178,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-13.002541494408472,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,-86.35886381720674,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-125.16473710053455,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-81.36904669873238,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-13.2819351797383,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
