trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,5,-74.22097946485624,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.3407618130837,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-163.43774013899701,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-36.0606807662784,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,9,-54.37861498397938,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-192.48942859596207,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,14,-2.298452461638079,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-45.900971985565384,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,18,-86.37595738609772,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-105.15731084700292,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,16.119525034951927,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-0.32773275103650434,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-45.639961761985155,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-64.51621115330785,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,13,7.623025987000381,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-20.527107509108674,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,10,-37.10572016960475,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,11.471364483284004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,11.354343511729587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,5.484878059465803,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,5,21.084163059448308,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,2.2032659923178772,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,-27.542024099556453,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,19,7.621079557801038,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,1,-26.574698114777092,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,6,27.007303752113767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,19,18.57976353382209,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,-28.32151252879311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,13,29.327351405682673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-1.6207458438874696,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
